project;plan
search_api_autocomplete;"This module is fully compatible with Drupal 9."
commerce;"This module is Drupal 9 ready."
ckeditor_media_embed;"Help port this project at [#3113343]."
entity_usage;"- The 8.x-2.0-beta2 release (and earlier versions) is compatible with Core <= 8.7.* - The 8.x-2.0-beta3 release requires D8.8+, and is compatible with Drupal 8.8.*, 8.9.* and 9.*"
entity_browser_enhanced;"<strong><a href=""https://www.drupal.org/project/issues/search/entity_browser_enhanced?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
mimemail;"This module is Drupal 9 ready."
quick_node_clone;"This module is Drupal 9 compatible 🍻"
weight;"This module is Drupal 9 compatible 🍻"
asset_injector;"<strong>Up to date and ready for Drupal 9.</strong>"
migrate_source_csv;"This module has no identified issues and should be ready."
menu_trail_by_path;"Drupal 9-ready with patch in [#3042759]."
video;"Drupal 9 focus of the module will be to provide video transcoding and hosting only. There will be an integration with the Core Media suite.  Help port this project at [#3146521]"
simple_gmap;"The 3.0.0 release is compatible with both Drupal8 and Drupal9.  1) All module test pass on a Drupal9 ( dev branch as of 20th Jan 2020 )  2) drupal-check, reports no deprecation issues."
csp;"Compatible with Drupal 9"
fontyourface;"This module is Drupal 9 compatible 🍻"
flexslider;"FlexSlider 8.x-2.0 is compatible with Drupal 9."
geocoder;"Geocoder 8.x-3.4+ supports Drupal 9."
views_templates;"This module is Drupal 9 compatible 🍻"
views_field_view;"Drupal 9 compatible"
checklistapi;[#3105591]
panelizer;"Panelizer 4.4+ supports Drupal 9 and requires Drupal 8.8."
field_formatter_class;"Field Formatter Class 8.x-1.3+ supports Drupal 9. Enjoy."
shield;"This module supports Drupal 9 and requires 8.7.7+ as of version 1.4. If you're using Drupal 8.5 or lower, use 1.2 or 1.3-rc1. If you're using Drupal 8.6, use 1.3"
votingapi;"The project is ready for Drupal 9 🎉🎉🎉"
override_node_options;"8.x-2.x is Drupal 9 compatible."
imagemagick;"ImageMagick 3.x is ready for Drupal 9."
media_entity_generic;"This module is ready for Drupal 9 since version 8.x-1.1."
dynamic_entity_reference;"8.x-1.9 and 8.x-2.0-alpha12 are Drupal 9 compatible."
layout_builder_restrictions;"Layout Builder Restrictions 8.x-2.7+ supports Drupal 9."
workbench;"The <a href=""/project/workbench/releases/8.x-1.2"" title=""8.x-1.2 release notes"">8.x-1.2 release</a> and higher are Drupal 9 compatible."
email_registration;"The 8.x-1.1 release is compatible with Drupal 9. Yay."
pathologic;"D9 compatible as of <a href=""https://www.drupal.org/project/pathologic/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a>."
jquery_ui_draggable;"8.x-1.2+ is Drupal 9 compatible."
back_to_top;"This module is ready for Drupal 9 ([#3101950], [#3094727])."
jquery_ui_droppable;"8.x-1.2+ is Drupal 9 compatible."
flood_unblock;"Porting of this project is on it's way. See [#3062795]"
entity_reference_display;"This module is Drupal 9 compatible."
faqfield;"The project is ready for Drupal 9 🎉🎉🎉"
consumers;"Consumers >= 8.x-1.11 is compatible with Drupal 9."
fullcalendar_view;"Fullcalendar View 8.x-2.6+ supports Drupal 9."
calendar;"This module is Drupal 9 compatible 🍻"
youtube;"The 8.x-1.2 release is compatible with Drupal 9."
geofield_map;"Geofield Map 8.x-2.61+ supports Drupal 9."
content_access;"8.x-1.0-alpha3 is compatible with Drupal 9."
search404;"2.0.0 fully support latest D8 core and D9."
responsive_menu;"This project is Drupal 9 ready"
social_media;"This module should be ready to go with Drupal 9! Please create an issue if you find any problems."
masonry;"Compatible with Drupal 9 since version 8.x-1.0"
field_display_label;"This module is Drupal 9 compatible 🍻"
autoban;"This module is ready for Drupal 9!"
config_pages;"Versions started from 8.x-2.7 are compatible with Drupal 9"
ludwig;"Help to make this project D9 ready at [#3093483]"
tamper;"Help port this project at [#3100431]"
leaflet;"Leaflet 8.x-1.38+ support Drupal 9."
quicktabs;"Work for Drupal 9 is under active development. <a href=""https://www.drupal.org/project/quicktabs/issues/3138446"">See plan</a>."
devel_entity_updates;"Branch 3.0.x is compatible with both Drupal 8 and Drupal 9."
lightning_media;"Lightning Media 4.x and up is compatible with Drupal 9."
rename_admin_paths;"This module should be Drupal 9 compatible."
mail_login;"Drupal 9 support is underway: <a href=""https://www.drupal.org/project/mail_login/issues/3119079"">#3119079: [meta] Drupal 9 Readiness</a>"
exclude_node_title;"This module is Drupal 9 compatible 🍻"
bootstrap_paragraphs;"This module currently has no known compatibility issues, and is aiming for a release together with Drupal 9."
tablefield;[#3062227]
sophron;"This module is ready for Drupal 9."
physical;"Compatible with Drupal 9 from version 8.x-1.1"
administerusersbyrole;"Administer Users by Role supports Drupal 9"
gacsp;"Use this project instead: <a href=""https://www.drupal.org/project/ga"">Googalytics</a>"
ckeditor_accordion;"Project is Drupal 9 compatible."
rebuild_cache_access;"Rebuild Cache Access is ready for Drupal 9."
ga;"Compatible with Drupal 9"
ldap;"4.x will support Drupal 9."
we_megamenu;"Version 8.x-1.11 is D9-ready!"
migrate_upgrade;"No known Drupal 9 conflicts. This module should support both Drupal 8 and Drupal 9. Along with Drush 8 (best effort) and Drush 9/10."
spamspan;"The 8.x version is compatible with Drupal 9."
transliterate_filenames;"8.x-1.4+ is Drupal 9 compatible."
menu_item_role_access;"Menu Item Role Access 8.x-2.x is compatible with Drupal 9!"
unlimited_number;"Drupal 8.9 / 9.x support can be found in 2.x branch. 2.x is a drop in replacement for 1.x branch."
term_csv_export_import;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
slick_entityreference;"This module is Drupal 9 ready."
acsf;"8.x-2.66 is compatible with Drupal 9."
realname;"Real Name 8.x-1.0-rc2+ supports Drupal 9. Enjoy."
lightning_layout;"As of version 2.6, this module is compatible with Drupal 9."
shariff;"This module is Drupal 9 ready."
matomo;"This module is Drupal 9 ready from version 8-x-1.10!"
upgrade_status;"<strong>This module intentionally does not work on Drupal 9.</strong> To detect deprecated API use from 8 to 9, you need to use it on Drupal 8, because that has the definitions of those APIs. Read more at [#3159285]."
toolbar_menu;"8.x-2.2+ is Drupal 9 compatible."
minifyhtml;"Minify Source HTML supports D9 from version 8.x-1.9 and onward."
content_lock;"This project has released 8.x-2.0 that is compatible with Drupal 9 and has automated tests."
domain;"Beta2 and higher should be fully compatible with Drupal 9"
change_pwd_page;"This module is ready for Drupal 9."
lazy;"Read more about this project’s status at [#3094992]"
cookieconsent;"8.x-1.6+ is Drupal 9 compatible."
owlcarousel;"Pledge to have it ready before Drupal 9 release date."
webform_encrypt;"Ready for Drupal 9."
audiofield;"Drupal 9 compatible"
clientside_validation;"This module is Drupal 9 ready (8.x-1.2 onwards)"
page_load_progress;"This module should already be compatible with Drupal 9!"
layout_builder_modal;"Layout Builder Modal 8.x-1.1+ supports Drupal 9. See [#3127532]"
imageapi_optimize_resmushit;"This module is Drupal 9 ready."
block_permissions;"8.x-1.1+ is Drupal 9 compatible."
feeds_ex;"Help port this project at [#3097368]"
blockgroup;"Block Group 8.x-1.3+ supports Drupal 9. Enjoy."
csv_importer;"Supports D9."
avatars;"Avatar Kit follows Drupal 9 and Drupal 8 head with best effort, feel free to file issues."
media_bulk_upload;"8.x-1.0-alpha27+ is Drupal 9 compatible."
hreflang;"The 8.x-1.x branch of this module supports Drupal 9."
insert;"This module is Drupal 9 compatible 🍻"
check_dns;"The <a href=""https://www.drupal.org/project/check_dns/releases/8.x-1.2"">8.x-1.2</a> release and higher are Drupal 9 compatible."
views_block_filter_block;"Views Block Exposed Filter Blocks 8.x-1.0+ supports Drupal 9. Enjoy."
search_api_page;"The latest release supports both 8.x and 9.x"
block_exclude_pages;"Use version 2.0.0 for D9"
autocomplete_deluxe;"<strong>Works and ready for Drupal 9.</strong>"
scheduled_updates;"There will be a D9 version."
ckeditor_youtube;"Compatible with Drupal 9"
simplify;"Drupal 9 is fully supported by this module."
disable_messages;"Fully compatible with Drupal 9. Use 2.0.0 release."
recreate_block_content;"The last dev version should be Drupal 9 compatible."
persistent_login;"Compatible with Drupal 9"
module_missing_message_fixer;"2.0.0 is Drupal 9 compatible"
entity_reference_views_select;"Should be all set. Version 1.4 has been updated and tested. File an issue if you find one. This module will be deprecated by drupal 10 in favor of core so maintenence only."
config_rewrite;"See: [#3088325] As long as there is a need to rewrite existing installed configuration. Not future considerations (e.g. /optional stuff that might come later) then we will need this in Drupal 9 too. I will work very hard for you guys to try to get the /rewrite folder into core, but it will be a long hard battle. Please help and support this project if you want to see /rewrite as a core option for the config system. -bw"
commerce_paypal;"This module is Drupal 9 ready."
current_page_crumb;"Current Page Crumb supports Drupal 9."
tmgmt;"Drupal 9 compatible."
media_entity_download;"Drupal 9 compatible."
responsive_tables_filter;"This module is Drupal 9 compatible! See [#3130319]"
ckeditor_scayt;"Module is Drupal 9 ready."
svg_formatter;"This module is Drupal 9 ready."
contact_formatter;"Contact Formatter 2.0.0+ Supports Drupal 9. Enjoy!"
prepopulate;"This project supports Drupal core 8.x and 9.x."
photoswipe;"This module is Drupal 9 compatible in the 3.x branch."
extra_field;"The <a href=""//project/extra_field/releases/8.x-1.2"">8.x-1.2 release</a> is Drupal 8 and 9 compatible."
addtocalendar;"Addtocalendar 8.x-3.2+ now supports Drupal 9."
menu_token;"The maintainers are actively working on the automated patches that will make it compatible with Drupal 9."
smart_date;"This module is Drupal 9 ready."
field_formatter;"This module is Drupal 9 compatible in the 3.x branch."
config_perms;"Compatible with Drupal 9"
yearonly;"Drupal 9 compatibility patch is applied in 9.0.x branch.  core_version_requirement: ^8 || ^9"
views_exposed_filter_blocks;"This module is Drupal 9 compatible in the latest branch."
ckeditor_bootstrap_buttons;"CKEditor Bootstrap Buttons 8.x-1.2+ supports Drupal 9. Enjoy."
cdn;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/cdn/releases/8.x-3.4"">version 3.4</a>!"
paragraphs_previewer;"Use 1.x version of this module."
subpathauto;"This module is Drupal 9 ready."
google_analytics_reports;"<strong><a href=""https://www.drupal.org/project/issues/search/google_analytics_reports?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
ckeditor_indentblock;"The module is Drupal 9 ready from version 8.x-1.0-beta2 and up."
ckeditor_uploadimage;"Fully compatible as of 8.x-2.0. See [#3130267]."
fixed_block_content;"This module is compatible with Drupal 9 from version 1.1 onwards"
background_image_formatter;"Fully compatible with Drupal 9."
taxonomy_import;"Help port this project at [#3174577]."
fivestar;"This module is Drupal 9 ready."
simple_block;"This module is Drupal 9 compatible 🍻"
workbench_email;"See [#3094338]"
noreqnewpass;"This module is Drupal 9 compatible 🍻"
contact_storage_export;"This module is Drupal 9 ready."
node_revision_delete;"This module is ready for Drupal 9."
country;"Compatible since version 8.x-1.0-beta4"
private_files_download_permission;"This project is ready for D9."
twig_xdebug;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/twig_xdebug/releases/8.x-1.2"">version 1.2</a>."
search_api_sorts;"Read more about this project’s readiness at [#3052009]"
nodeaccess;"Help port this project at [#3130778]"
user_registrationpassword;"This module is D9 ready"
total_control;"<strong><a href=""https://www.drupal.org/project/issues/search/total_control?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
imageapi_optimize_binaries;"This module is Drupal 9 ready."
ckeditor_liststyle;"Read more about this project’s readiness at [#3139809]"
d8w3css;"⚡️ Version 8.x-1.16 and up are compatible with Drupal 8 and 9."
range;"This module is fully compatible with Drupal 9."
search_autocomplete;"This module has a release compatible with Drupal 9."
contact_emails;"This module is Drupal 9 ready."
htmlmail;"The 8.x-3.x-dev version of this module is Drupal 9 compatible."
date_recur;"Version 3 is designed and tested for Drupal 9. See support/compatibility table on project page."
tb_megamenu;"Drupal 9 Compatibility is available via the 2nd Beta Release and the latest 8.x Dev branch"
multiselect;"This module has a Drupal 9-ready release"
gin;"This theme is ready & tested with Drupal 9."
business_rules;"The main issue for this is [#3073982], but it's currently postponed on [#3154417].  If you'd like things to move forward, please help with writing tests.  Once that's done, we can carry on with the port."
plugin;"Compatible with Drupal 9"
telephone_formatter;"You can follow a progress on making this module compatible with D9 in [#3087158]"
remote_stream_wrapper;"This module is Drupal 9 ready!"
betterlogin;"Better Login 8.x-1.5+ supports Drupal 9. Enjoy."
registration_role;"Registration role already works with Drupal 9."
wysiwyg_template;"This project is ready for Drupal 9"
bamboo_twig;"Bamboo Twig is already ready for Drupal9 - see the issue [#3090749]"
bootstrap4;"Theme is Drupal 9 compatible."
gutenberg;"Drupal Gutenberg has a stable release for Drupal 9."
entity_reference_exposed_filters;"Should be all set. Current version has been updated and tested. File an issue if you find one. This module may be deprecated by drupal core so maintenence fixes only."
imagefield_slideshow;"Will be soon ported to Drupal 9."
raven;"The 8.x-2.x branch of this module supports Drupal 9."
adsense;"Project should be ready for Drupal 9 already."
entity_class_formatter;"This module is Drupal 9 compatible."
publication_date;"The module is compatible with Drupal 9 since beta2."
advancedqueue;"This module is D9 ready from version 8.x-1.0-rc1"
multiple_registration;"Module versions from <strong>8.x-2.91+</strong> are Drupal Core <strong>8.8.*+</strong> compatible Module versions before <strong>8.x-2.91</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong>"
delete_all;"Delete all >2.0.0 supports Drupal 9"
site_settings;"This module is Drupal 9 ready."
image_resize_filter;"Compatible with Drupal 9"
views_aggregator;"This module is Drupal 9 ready."
yaml_content;"Full support as of 8.x-1.0-alpha6."
authorization;">=1.0-beta2 is compatible with D9."
external_link_popup;Compatible
media_entity_audio;"8.x-3.x is compatible with Drupal 9."
file_delete;"File Delete 8.x-1.0 supports Drupal 9. Enjoy!"
disable_html5_validation;"This module is Drupal 9 compatible!"
imagick;"This module is ready for Drupal 9 as of 8.x-1.4!"
bootstrap_sass;"Ready for Drupal 9"
big_pipe_sessionless;"Read more about this project’s readiness at [#3046409]"
login_redirect_per_role;"Releasing in Drupal 9 soon"
securelogin;"The 8.x-1.x branch of this module supports Drupal 9."
empty_fields;"Module compatible with 8.7.7 and 9.x, see [#2927899]"
views_custom_cache_tag;"Ready for Drupal 9."
varbase_media;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_media?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
smart_ip;"Fully compatible as of 8.x-4.0. See [#3135397]."
gin_toolbar;"This module works with D9"
monolog;"This project will be ported to Drupal 9 and will be based on Monolog 2.x"
taxonomy_unique;"Taxonomy unique is fully compatible with Drupal 9!"
ultimenu;"Ultimenu 8.x-2.x supports Drupal 9. Enjoy."
config_direct_save;"This module is compatible with Drupal 9."
views_taxonomy_term_name_into_id;"Fully compatible with Drupal 9 as of <a href=""https://www.drupal.org/project/views_taxonomy_term_name_into_id/releases/8.x-1.0-alpha3"">8.x-1.0-alpha3</a>."
duration_field;"Fully D9 compatible as of <a href=""https://www.drupal.org/project/duration_field/releases/8.x-2.0-rc3"">8.x-2.0-rc3</a>."
pagerer;"Pagerer 8.x-2.x is Drupal 9 ready."
block_blacklist;"Do not use for Drupal 9, switch to <a href=""https://www.drupal.org/project/block_list_override"">Block List Override</a> instead."
config_override_warn;"This module is Drupal 9 ready!"
bulk_update_fields;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
remove_http_headers;"Compatible with Drupal 9"
quicklink;"This module is compatible with Drupal 9."
media_library_theme_reset;"Read about this project's readiness at [#3130320]"
commerce_variation_cart_form;"This module is Drupal 9 ready."
varbase_total_control;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_total_control?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
mailgun;"Mailgun module is compatible with Drupal 9 - [#3122834]"
webform_rest;"Webform REST <a href=""https://www.drupal.org/project/webform_rest/releases/8.x-2.0-beta3"">8.x-2.0-beta3</a>+ supports Drupal 8.8|Drupal 9."
scheduled_publish;"3.x-dev needs to be tested."
ckeditor_config;"This module (both 8.x-2.x and 8.x-3.x) is ready for Drupal 9!"
datatables;"This module is compatible with Drupal core 7, 8 and 9."
image_delta_formatter;"Release 8.x-1.1 is compatible with Drupal 9."
link_field_autocomplete_filter;"Link Field Autocomplete Filter is ready for Drupal 9."
field_encrypt;"8.x-2.0-alpha2 is compatible with Drupal 9"
config_inspector;"Current releases of the project support Drupal 9"
mathjax;"This project is ready for Drupal 9 in the 3.0.x branch. See [#3124159]."
vmi;"<strong><a href=""https://www.drupal.org/project/issues/search/vmi?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
cacheflush;[#3083843]
drd_agent;"This project is ready for Drupal 9"
open_readspeaker;"Fully compatible as of 8.x-1.5."
geophp;"This module is Drupal 9 compatible 🍻"
entityqueue_form_widget;"<strong><a href=""https://www.drupal.org/project/issues/search/entityqueue_form_widget?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
manage_display;"Manage display supports Drupal 9."
ckeditor_templates_ui;"This module is Drupal 9 ready [#3124352]"
editor_advanced_image;"EAI is already ready for Drupal 9"
addanother;"This module is Drupal 9 compatible 🍻"
vartheme_admin;"<strong><a href=""https://www.drupal.org/project/issues/search/vartheme_admin?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
google_cse;"This module is Drupal 9 compatible! See [#3122504]"
varbase_bootstrap_paragraphs;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_bootstrap_paragraphs?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
varbase_seo;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_seo?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
taxonomy_menu_ui;"This module already supports Drupal 9"
visitors;"This module doesn't contain deprecated code, so is D9 ready."
simple_instagram_feed;"The latest 8.x Dev and Stable work in both Drupal 8 and 9."
siteimprove;"8.x-1.2 and later releases are Drupal 9 compatible."
config_partial_export;"Module should be ready for Drupal 9. See [#3099572]"
improved_multi_select;"Compatible with Drupal 9"
colorbox_field_formatter;"This project is ready for Drupal 9"
paragraphs_ee;"8.x-1.x-dev is compatible with Drupal 9."
body_node_id_class;"This module will work as is with Drupal 9."
salesforce;"Salesforce 4.1 is Drupal 9 ready."
simple_recaptcha;"<p>see <a href=""https://www.drupal.org/project/simple_recaptcha/issues/3144718"">#3144718 Drupal 9 Compatibility</a>, the module is compatible with Drupal 9 since release 8.x-1.0-alpha12</span>"
better_social_sharing_buttons;"This module is Drupal 9 compatible beginning with 3.0."
rest_views;"Version 2.0.0 is fully compatible with Drupal 9."
auditfiles;"https://www.drupal.org/project/auditfiles/issues/3127142, https://www.drupal.org/project/auditfiles/issues/3004280  As of release 8.x-2.4 this module is D9 Ready."
varbase_editor;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_editor?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
interval;"This module works with Drupal 9 🌰 If you find something else, please <a href=""https://www.drupal.org/node/add/project-issue/interval"">Open an issue!</a> - thanks!"
juicerio;[#3086282]
paragraphs_jquery_ui_accordion;"8.x-1.x-dev is compatible with Drupal 9."
imce_rename_plugin;"Fully compatible with Drupal 9."
convert_bundles;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
media_directories;"This module is Drupal 9 ready!"
rrssb;"RRSSB supports Drupal 9"
pwa;"Help port this project at [#3131591]"
courier;"Drupal 8.9 and Drupal 9 support found in 2.x branch."
hierarchical_taxonomy_menu;"This module is Drupal 9 ready."
comments_order;"This module already supports Drupal 9"
tour_ui;"No known issues."
minifyjs;"Minify JS supports D9 from version 8.x-2.0 and onward."
varbase_core;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_core?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
cacheexclude;"The 8.x-1.x-dev branch is Drupal 9 ready and awaiting a stable release.  See https://www.drupal.org/project/cacheexclude/issues/3133757"
