From,To
G00675,/es/G00675
G00676,/es/G00676
G00677,/es/G00677
G00678,/es/G00678
G00679,/es/G00679
G00680,/es/G00680
G00681,/es/G00681
G00682,/es/G00682
G00684,/es/G00684
G00685,/es/G00685
G00686,/es/G00686
G00687,/es/G00687
G00688,/es/G00688
G00689,/es/G00689
G00690,/es/G00690
G00691,/es/G00691
G00693,/es/G00693
G00694,/es/G00694
G00695,/es/G00695
G00696,/es/G00696
G00697,/es/G00697
G00698,/es/G00698
G00699,/es/G00699
G00700,/es/G00700
G00701,/es/G00701
G00714,/es/G00714
G00721,/es/G00721
G00731,/es/G00731
G00773,/es/G00773
G00774,/es/G00774
G00777,/es/G00777
G00778,/es/G00778
G00781,/es/G00781
G00785,/es/G00785
G00787,/es/G00787
G00789,/es/G00789
G00791,/es/G00791
G00792,/es/G00792
G00794,/es/G00794
G00796,/es/G00796
G00797,/es/G00797
G00798,/es/G00798
G00799,/es/G00799
G00800,/es/G00800
G00801,/es/G00801
G00802,/es/G00802
G00803,/es/G00803
G00804,/es/G00804
G00820,/es/G00820
G00824,/es/G00824
G00841,/es/G00841
G00855,/es/G00855
G00922,/es/G00922
G00933,/es/G00933
G00934,/es/G00934
G00935,/es/G00935
G00936,/es/G00936
G00937,/es/G00937
G00938,/es/G00938
G00939,/es/G00939
G00977,/es/G00977
G00978,/es/G00978
G01005,/es/G01005
G01009,/es/G01009
G01039,/es/G01039
G01040,/es/G01040
G01053,/es/G01053
G01068,/es/G01068
G01264,/es/G01264
G01265,/es/G01265
G02217,/es/G02217
G02339,/es/G02339
G02537,/es/G02537
G02733,/es/G02733
G03076,/es/G03076
G03078,/es/G03078
G03148,/es/G03148
G03247,/es/G03247
G03487,/es/G03487
G03876,/es/G03876
G03937,/es/G03937
X00077,/es/X00077
16635SWIIED,/sw/16635SWIIED
G02163,/te/G02163
G02615,/vi/G02615
G02618,/vi/G02618
G02619,/vi/G02619
G02622,/vi/G02622
G03237,/zh-hant/G03237
G03758,/zh-hant/G03758
G03985,/zh-hant/G03985
G03986,/zh-hant/G03986
G03987,/zh-hant/G03987
G03988,/zh-hant/G03988
G03989,/zh-hant/G03989
